Question,Answer,Citation
How can I get a restraining order?,You can apply through the court if someone is harassing or threatening you.,"Domestic Violence Act, Section 6"
Can police question me without a lawyer?,Yes but you can choose to remain silent and ask for legal counsel.,Constitution of Guyana Article 144
What is criminal damage?,It includes arson or graffiti or any intentional destruction of property.,"Summary Jurisdiction (Offences) Act, Section 6"
What happens if I lie in court?,You can be charged with perjury which is a serious offence.,"Criminal Law (Offences) Act, Section 83"
What is assault?,Any intentional act that causes someone to fear immediate physical harm.,"Criminal Law (Offences) Act, Section 47"
Who can file a complaint in a Magistrate’s Court?,Any citizen can lay an information or file a complaint about a summary offence.,"Summary Jurisdiction (Procedure) Act, Section 3"
Can I withdraw a police report?,Yes but it’s up to the police or court to decide whether to continue the case.,Criminal Law (Procedure) Act
Hello,Hi there! I'm your legal assistant. How can I help you?,
Who are you?,I'm a chatbot trained to help you understand your legal rights in Guyana.,
What is the purpose of the Republic Act?,The Republic Act (Act No. 9 of 1970) was enacted to make provisions consequential upon Guyana becoming a Republic on February 23 1970.,"Chapter 1:02, Section 1"
"What is the meaning of ""existing laws"" under this Act?",Existing laws are all laws in force in or otherwise having effect as part of the law of Guyana immediately before the appointed day (February 23 1970).,"Chapter 1:02, Section 2"
What happens to laws that existed before Guyana became a Republic?,All existing laws continue to have effect but are subject to modifications to align them with the Constitution.,"Chapter 1:02, Section 3(1)"
Who has the authority to amend existing laws to make them conform to the Constitution?,The President may amend existing laws any time before February 23 1972 to make them conform to the Constitution.,"Chapter 1:02, Section 3(2)"
What happens to property held by the Crown after Guyana became a Republic?,All such property vests in the State as of the appointed day (February 23 1970).,"Chapter 1:02, Section 6(1)"
What happens to rights and obligations previously held by Her Majesty in Guyana?,They are transferred to the State of Guyana.,"Chapter 1:02, Section 7(1)"
Can criminal proceedings that were initiated before the Republic still continue?,Yes but with the substitution of the State as the party instead of Her Majesty.,"Chapter 1:02, Section 5(1)"
Who now holds prerogatives and privileges formerly held by the Crown?,They now vest in the State and may be exercised by the President.,"Chapter 1:02, Section 4(1)"
What is the voting system used to elect members to Guyana's National Assembly?,Members are elected under a system of proportional representation where votes cast for party lists are used to allocate seats.,"Chapter 1:03, Section 11C(1)"
Can one vote be used for both local and national election outcomes?,Yes a vote cast in a geographical constituency counts both for that constituency and for the national top-up list.,"Chapter 1:03, Section 11C(1)"
How are seats allocated in the National Assembly based on votes?,Seats are allocated using an electoral quota: total votes divided by 53. Each list receives seats based on how many full quotas it achieves and remaining seats go to those with the highest surplus votes.,"Chapter 1:03, Section 97"
What is the electoral quota?,It is the number obtained by dividing total valid votes by 53 used to calculate how many seats each list of candidates earns.,"Chapter 1:03, Section 97(1)"
What happens if two party lists have the same number of surplus votes?,Lots are drawn by the Chairman of the Commission in the presence of representatives to determine allocation.,"Chapter 1:03, Section 97(3)(c)"
Who may be designated to extract elected candidates from a party list?,If the representative or deputy cannot act a majority of persons on the list may designate someone to extract names for seat allocation.,"Chapter 1:03, Section 98"
When are the election results officially declared?,The Commission must declare results and publish them in the Gazette within 15 days of election day.,"Chapter 1:03, Section 99"
Can a person vote more than once in an election?,No each elector is entitled to vote only once at the polling place where their name appears.,"Chapter 1:03, Section 27(4)"
What happens if a proxy appointment is revoked or the proxy dies?,The appointment is canceled and a new proxy can be appointed according to the Act.,"Chapter 1:03, Section 33"
Can an assistant agent act on behalf of an election agent?,Yes anything done by an assistant agent in their district is treated as having been done by the election agent.,"Chapter 1:03, Section 25(1)"
